arm,arm_label,seed,class_id,class_name,support,precision,class_wise_accuracy_recall,f1,source_result_sha256
training_only_calibration,Training-only calibration,4,5,FTP-Patator,1588,0.38962826984855436,0.5346347607052897,0.4507565702150252,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,4,6,Heartbleed,2,0.0,0.0,0.0,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,4,7,SSH-Patator,1179,0.17502347417840375,0.7905004240882103,0.28659286592865924,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,42,0,Benign,174421,0.9861485427765591,0.9020702782348455,0.9422374996631444,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,1,DoS GoldenEye,2059,0.9124716553287981,0.9771733851384167,0.9437148217636022,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,2,DoS Hulk,46215,0.8258582089552239,0.9578275451693173,0.8869608776236036,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,3,DoS Slowhttptest,1100,0.43026706231454004,0.7909090909090909,0.5573350416399744,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,4,DoS slowloris,1159,0.383585313174946,0.7661777394305436,0.5112262521588946,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,5,FTP-Patator,1588,0.5015832805573147,0.9974811083123426,0.6675094816687737,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,6,Heartbleed,2,0.0019801980198019802,1.0,0.003952569169960474,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
training_only_calibration,Training-only calibration,42,7,SSH-Patator,1179,0.3028734144447321,0.9923664122137404,0.46410154700515666,0ea6ab8252d69d109f25cb37f4d93606f5c2f7b61d2b1e71460e5b3f6c49a17e
